State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Matriculants"
Connecticut,128.1,2.0,127.8,2.0,128.8,1.8,129.0,1.7,513.8,5.2,3.66,0.27,3.78,0.18,3.72,0.21,245
Delaware,127.8,1.8,127.2,2.4,127.7,1.8,128.5,1.9,511.2,6.1,3.71,0.26,3.83,0.15,3.77,0.18,44
District of Columbia,127.4,2.4,127.8,2.5,127.9,2.1,128.6,1.8,511.6,7.0,3.52,0.35,3.69,0.25,3.61,0.24,54
Maine,127.7,2.1,127.7,2.2,128.7,1.7,128.5,1.8,512.6,5.7,3.69,0.23,3.78,0.19,3.73,0.20,46
Maryland,127.9,2.0,127.4,2.3,128.4,2.1,128.7,1.8,512.4,6.1,3.64,0.30,3.79,0.22,3.70,0.24,531
Massachusetts,128.4,2.0,127.8,2.2,128.7,1.9,128.9,1.9,513.9,5.8,3.66,0.27,3.78,0.19,3.71,0.21,612
New Hampshire,128.1,1.9,127.4,2.4,128.6,1.6,129.0,1.7,513.2,5.4,3.69,0.28,3.81,0.19,3.74,0.22,45
New Jersey,128.3,1.9,127.4,2.2,128.6,2.0,128.7,1.9,513.0,5.9,3.66,0.32,3.80,0.21,3.72,0.25,864
New York,128.2,1.9,127.4,2.3,128.4,2.0,128.7,1.9,512.6,5.9,3.64,0.30,3.78,0.20,3.70,0.23,"1,608"
Pennsylvania,128.1,2.0,127.4,2.2,128.5,1.9,128.5,1.9,512.5,5.8,3.65,0.29,3.80,0.22,3.72,0.23,789
Rhode Island,127.9,1.9,127.5,2.1,128.3,2.0,128.4,1.8,512.1,4.6,3.70,0.24,3.84,0.19,3.77,0.20,47
Vermont,127.7,2.0,128.1,1.9,127.9,1.9,129.0,2.1,512.8,5.1,3.72,0.23,3.78,0.19,3.74,0.17,57
